	name	train	val
0	MuSeRC	(0.2564722126337591, 0.5966356478167503)	(0.2495274102079395, 0.5841053144807411)
1	MuSeRC	(0.2564722126337591, 0.5966356478167503)	(0.2495274102079395, 0.5841053144807411)
